identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract	subject.ddc	subject.keyword
1771052511	b	2021	Raúl Prebisch y Federico Pinedo : técnica y política en la década infame				Blanco, Alejandro	Praxedes Barboza, Darlan				spa				(DE-627)1735209643	Desarrollo económico	(DE-627)515240486|(DE-600)2244954-1|(DE-576)26053062X	https://ojs.ides.org.ar/index.php/desarrollo-economico/article/download/106/31/			
177105199X	b	2021	La necesidad de repensar la ortodoxia de la libertad de expresión en la comunicación digital				Becerra, Martín	Waisbord, Silvio R.				spa				(DE-627)1735209643	Desarrollo económico	(DE-627)515240486|(DE-600)2244954-1|(DE-576)26053062X	https://ojs.ides.org.ar/index.php/desarrollo-economico/article/download/105/30/			
1771044039	b	2021	"Estudios de casos, teorización ""apreciativa"" y la dinámica de la política industrial"				Katz, Jorge M.					spa				(DE-627)1735209643	Desarrollo económico	(DE-627)515240486|(DE-600)2244954-1|(DE-576)26053062X	https://ojs.ides.org.ar/index.php/desarrollo-economico/article/download/104/29/			
1771038780	b	2021	Problematizaciones  de  la  modernidad  y  de la modernización en América Latina				Martuccelli, Danilo					spa				(DE-627)1735209643	Desarrollo económico	(DE-627)515240486|(DE-600)2244954-1|(DE-576)26053062X	https://ojs.ides.org.ar/index.php/desarrollo-economico/article/download/103/27/			
176714850X	m	2020	Klimatinfo för alla			9789187379840		Larsson, Markus			Stockholm : Fores	swe		Andra utgåvan		(DE-627)1735209643			https://fores.se/wp-content/uploads/2021/03/Klimatinfo-Fo%CC%88r-alla-Webb-slutgiltig-1.pdf			
176714797X	m	2020	EU ETS : reform needs in the light of national policies			9789187379802	Elkerbout, Milan	Zetterberg, Lars|Henriksson, Ruben			Stockholm : Fores	eng				(DE-627)1735209643			https://fores.se/wp-content/uploads/2021/02/Online_EU-ETS.pdf			
1766533353	m	2020	Border carbon adjustments and climate clubs : in the EU context			9789187379789	Forslid, Rikard	Henriksson, Ruben			Stockholm : Fores	eng				(DE-627)1735209643			https://fores.se/wp-content/uploads/2021/02/Complete_BCA_Climate_Clubs_online.pdf			
1766518826	m	2020	Human-centred AI in the EU : trustworthiness as a strategic priority in the European Member States			9789187379819		Larsson, Stefan|Bogusz, Claire Ingram|Schwarz, Jonas Andersson|Heintz, Fredrik			Stockholm : Fores	eng				(DE-627)1735209643			https://fores.se/wp-content/uploads/2021/02/Larsson_et_al_2020_AI-in-the-EU.pdf			
1762470039	m	2020	Zerrieben und geschrumpft : die Finanztransaktionssteuer - Aufstieg, Fall und Perspektiven einer guten Idee				Ötsch, Rainald	Troost, Axel			Berlin : Rosa-Luxemburg-Stiftung	ger			Analysen / Rosa-Luxemburg-Stiftung. Internationale Politik	(DE-627)1735209643			https://www.rosalux.de/fileadmin/rls_uploads/pdfs/Analysen/Analysen62_Zerrieben_web__002_.pdf			
