identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract	subject.ddc	subject.keyword
1771692324	m	2021	Vier Jahre Nationaler Aktionsplan Wirtschaft und Menschenrechte (NAP) : Schattenbericht der Zivilgesellschaft				Heydenreich, Cornelia	Drillisch, Heike|Paasch, Armin|Geilenkirchen, Jochen|Heinz, Rebecca|Herre, Roman|Icking, Johannes|Kastning, Thomas|Köhler, Gabriele|Leifker, Maren|Reckordt, Michael|Reinwald, Eva-Maria|Sausmikat, Nora|Schäfer, Dustin|Seitz, Karolin|Sydow, Johanna|Wimberger, Christian|Wötzel, Uwe			Bonn : Global Policy Forum	ger				(DE-627)176098941X			https://www.globalpolicy.org/sites/default/files/download/Schattenbericht_2021_NAP_FINAL_WEB.pdf			
177162955X	m	2021	How will the Democratic Republic of Congo's joining the EAC bloc affect regional trade?				Mugume, Regean	Nattabi, Aida Kibirige			Kampala, Uganda : EPRC, Economic Policy Research Centre	eng			Research series / Economic Policy Research Centre	(DE-627)1677126663|(DE-600)2984297-9			https://eprcug.org/publication/how-will-the-democratic-republic-of-congos-joining-the-eac-bloc-affect-regional-trade/?wpdmdl=14298&refresh=614b0b19c7a3e1632307993			
1771624302	m	2021	Filipp Uikstid - netipičnyj maržinalist				Kapeljušnikov, R. I.				Moskva : Izd. dom Vysšej školy ėkonomiki	rus			Preprint / Vysšaja škola ėkonomiki, Nacionalʹnyj issledovatelʹskij universitet. Serija WP 3, Problemy rynka truda	(DE-627)35847082X|(DE-576)281219133|(DE-600)2097363-9			https://www.hse.ru/data/2021/09/19/1470224812/WP3_2021_07-19_09_21.pdf			
1770875875	m	2021	Assessing the EU's actorness in the Eastern neighbourhood : EURINT 2021 : EURINT conference proceedings, July 2-3, 2021			9786067146585		Pascariu, Gabriela Carmen|Crudu, Rodica|Simionov, Loredana Maria|Încalțărău, Cristian			"Iaşi : Editura universităţii ""Alexandru Joan Cuza"""	eng			EURINT conference proceedings	(DE-627)1008122904|(DE-576)49617102X|(DE-600)2913934-X			https://eurint.uaic.ro/proceedings/articles/EURINT2021.pdf			
1770084231	m	2021	Betwixt and between: integrating refugees into  the EU labour market			9782874525865		Galgóczi, Béla			Brussels : ETUI	eng				(DE-627)1738745007			https://www.etui.org/sites/default/files/2021-01/Betwixt%20and%20between.%20Integrating%20refugees%20into%20the%20EU%20labour%20market_2021_WEB.pdf			
1769976833	m	2021	Import competition and informal employment: empirical evidence from China				Wang, Feicheng	Liang, Zhe|Lehmann, Hartmut			Moscow : Higher School of Economics Publishing House	eng			Working paper / Higher School of Economics, National Research University. Series WP3, Labour markets in transition	(DE-627)35847082X|(DE-576)281219133|(DE-600)2097363-9			https://wp.hse.ru/data/2021/09/03/1417434585/WP3_2021_08_____.pdf			
1769699538	c	2021	Demografiebericht München	2019/2040								ger						(DE-627)1681902826|(DE-600)3000080-4	https://www.muenchen.de/rathaus/dam/jcr:9f74fb22-9f40-49de-8c47-32110718ec9e/Demografiebericht_Teil1_2021.pdf|https://www.muenchen.de/rathaus/dam/jcr:0ad63742-0265-47a6-8694-57832dd413b0/Demografiebericht-Teil2_2021.pdf 			
1769389016	b	2021	Impact of specific risk on financial performance of listed deposit money banks in Nigeria				Abdullahi, Murtala	Sabari, Mohammed Habibu|Sabo, Bello|Mohammed, Aisha Nuhu				eng					Accounting and taxation review	(DE-627)1684903025|(DE-600)3002831-0	https://www.atreview.org/admin/12389900798187/ATR%205(1)%2095-109%20PDF.pdf			
1769388389	b	2021	Economic development and foreign capital investment inflow in Nigeria				Araoye, Felix Ebun					eng					Accounting and taxation review	(DE-627)1684903025|(DE-600)3002831-0	https://www.atreview.org/admin/12389900798187/ATR%205(1)%2080-94%20PDF.pdf			
1769387897	b	2021	Leadership style and job satisfaction of departmental members at the Federal University Otuoke				Opigo, E. Helen					eng					Accounting and taxation review	(DE-627)1684903025|(DE-600)3002831-0	https://www.atreview.org/admin/12389900798187/ATR%205(1)%2060-79%20PDF.pdf			
