identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract	subject.ddc	subject.keyword
1764967372	m	2021	Greening markets: market-based approaches for environmental management in Asia			9789292629359|9789292629366			doi: 10.22617/TCS210239-2		Mandaluyong City, Metro Manila, Philippines : Asian Development Bank	eng				(DE-627)1735209996			https://www.adb.org/sites/default/files/publication/720236/greening-markets-environmental-management-asia.pdf|https://doi.org/10.22617/TCS210239-2			
873321537		2016	Predicting financial crises : draw probabilities as leading indicators				Jin, Zeyu	Vardiabasis, Demos|Seaman, Samuel L.	hdl: 11159/237			eng										
889804133	m	2016	Katalogisierung mit dem Open-Source-Bibliothekssystem Koha : Unter Berücksichtigung des Metadatenstandards MARC 21 und dem Regelwerk RDA				Hemme, Felix	Büttner, Stephan|Kleineberg, Michael	urn: urn:nbn:de:kobv:525-13882		Potsdam : Fachhochschule Potsdam	ger							http://nbn-resolving.de/urn:nbn:de:kobv:525-13882|http://d-nb.info/1133176747/34|https://opus4.kobv.de/opus4-fhpotsdam/frontdoor/index/index/docId/1388			
